 Q (1/Ang),S-S  ,S-F  ,F-F  
   0.71000 ,    -0.528159543759193E+01 ,     0.928397774332812E+00 ,    -0.870217182470104E+00 , 
   0.73000 ,    -0.586509821058950E+01 ,     0.590484175498992E+00 ,    -0.923420700668303E+00 , 
   0.75000 ,    -0.647488696393132E+01 ,     0.248548370581578E+00 ,    -0.978942151617432E+00 , 
   0.77000 ,    -0.709706144068567E+01 ,    -0.892404719552985E-01 ,    -0.103545574118526E+01 , 
   0.79000 ,    -0.771727943208088E+01 ,    -0.414938293012611E+00 ,    -0.109161943346571E+01 , 
   0.81000 ,    -0.832101728416060E+01 ,    -0.720983444476522E+00 ,    -0.114610026554376E+01 , 
   0.83000 ,    -0.889380234288017E+01 ,    -0.100032509441444E+01 ,    -0.119759635544992E+01 , 
   0.85000 ,    -0.942145112932504E+01 ,    -0.124654239765177E+01 ,    -0.124485866056834E+01 , 
   0.87000 ,    -0.989033982976743E+01 ,    -0.145396557408646E+01 ,    -0.128671483012955E+01 , 
   0.89000 ,    -0.102876150682922E+02 ,    -0.161775592682375E+01 ,    -0.132208690567459E+01 , 
   0.91000 ,    -0.106014511611867E+02 ,    -0.173399476836940E+01 ,    -0.135001240241545E+01 , 
   0.93000 ,    -0.108212626462676E+02 ,    -0.179973953017713E+01 ,    -0.136966064519466E+01 , 
   0.95000 ,    -0.109379072934242E+02 ,    -0.181306519190632E+01 ,    -0.138034756632019E+01 , 
   0.97000 ,    -0.109438753585572E+02 ,    -0.177308724094246E+01 ,    -0.138154867654707E+01 , 
   0.99000 ,    -0.108334402936745E+02 ,    -0.167996194910552E+01 ,    -0.137290806924321E+01 , 
   1.01000 ,    -0.106027904909982E+02 ,    -0.153486850189748E+01 ,    -0.135424535187742E+01 , 
   1.03000 ,    -0.102501408189800E+02 ,    -0.133997991502708E+01 ,    -0.132556036359016E+01 , 
   1.05000 ,    -0.977577840292122E+01 ,    -0.109839624611483E+01 ,    -0.128703213220935E+01 , 
   1.07000 ,    -0.918210035470397E+01 ,    -0.814078796009576E+00 ,    -0.123901687912151E+01 , 
   1.09000 ,    -0.847361937417232E+01 ,    -0.491768370564058E+00 ,    -0.118204324743207E+01 , 
   1.11000 ,    -0.765689817600663E+01 ,    -0.136874418952255E+00 ,    -0.111680172977266E+01 , 
   1.13000 ,    -0.674048119771992E+01 ,     0.244630597015067E+00 ,    -0.104413397831402E+01 , 
   1.15000 ,    -0.573477552645108E+01 ,     0.646333194080675E+00 ,    -0.965018236038406E+00 , 
   1.17000 ,    -0.465189553978063E+01 ,     0.106150790352073E+01 ,    -0.880552209377087E+00 , 
   1.19000 ,    -0.350547242607548E+01 ,     0.148325107718662E+01 ,    -0.791933613802395E+00 , 
   1.21000 ,    -0.231046670170468E+01 ,     0.190460444145528E+01 ,    -0.700441438074147E+00 , 
   1.23000 ,    -0.108288561751644E+01 ,     0.231870276658940E+01 ,    -0.607410470687256E+00 , 
   1.25000 ,     0.160452944109312E+00 ,     0.271889246450735E+01 ,    -0.514210132167610E+00 , 
   1.27000 ,     0.140220808881496E+01 ,     0.309885665854430E+01 ,    -0.422220100528912E+00 , 
   1.29000 ,     0.262475209285701E+01 ,     0.345271312197805E+01 ,    -0.332810488690112E+00 , 
   1.31000 ,     0.381070275448458E+01 ,     0.377518368808177E+01 ,    -0.247301294093475E+00 , 
   1.33000 ,     0.494287633617602E+01 ,     0.406158385179444E+01 ,    -0.166965053166817E+00 , 
