 1186
 SF6 190K                                                                       
  0.709999979 -0.0909689069
  0.730000019 -0.130154431
  0.749999881 -0.169366568
  0.769999921 -0.20788078
  0.789999902 -0.244990155
  0.809999883 -0.280020356
  0.829999924 -0.312342703
  0.849999785 -0.341377944
  0.869999826 -0.366614014
  0.889999807 -0.387607157
  0.909999788 -0.403992265
  0.929999828 -0.415492654
  0.94999969 -0.421912909
  0.969999671 -0.423154056
  0.989999712 -0.41920191
  1.00999999 -0.410137385
  1.02999997 -0.396124631
  1.04999995 -0.377414823
  1.07000005 -0.354335189
  1.09000003 -0.327284783
  1.11000001 -0.296725094
  1.13 -0.263172358
  1.14999998 -0.227187365
  1.16999996 -0.189363569
  1.19000006 -0.150319576
  1.21000004 -0.110685185
  1.23000002 -0.0710898712
  1.25 -0.0321540497
  1.26999998  0.00552307442
  1.28999901  0.0413716584
  1.30999899  0.0748668611
  1.32999897  0.105527446
  1.34999895  0.132929444
  1.36999905  0.15671137
  1.38999903  0.176579148
  1.40999901  0.192307428
  1.42999899  0.203746244
  1.44999897  0.21081771
  1.46999896  0.213517547
  1.48999906  0.211912706
  1.50999904  0.206138849
  1.52999902  0.196395412
  1.549999  0.182940274
  1.56999898  0.166084245
  1.58999896  0.146183014
  1.60999894  0.123630218
  1.62999904  0.0988499224
  1.64999902  0.0722858459
  1.669999  0.0443953834
  1.68999898  0.0156399179
  1.70999897 -0.0135239782
  1.72999895 -0.0426514596
  1.74999905 -0.0713175088
  1.76999903 -0.0991228372
  1.78999901 -0.125701576
  1.80999899 -0.150724724
  1.82999897 -0.173905119
  1.84999895 -0.195000991
  1.86999905 -0.213817745
  1.88999903 -0.230209187
  1.90999901 -0.244077772
  1.92999899 -0.255374163
  1.94999897 -0.264095962
  1.96999896 -0.27028352
  1.98999906 -0.274018139
  2.00999904 -0.275417417
  2.02999902 -0.274631858
  2.049999 -0.271838129
  2.06999898 -0.267235339
  2.08999896 -0.26103878
  2.10999894 -0.253474921
  2.12999892 -0.244775519
  2.1499989 -0.235173538
  2.16999888 -0.224896953
  2.1899991 -0.214164212
  2.20999908 -0.203182608
  2.22999907 -0.192139417
  2.24999905 -0.181206077
  2.26999903 -0.170529991
  2.28999901 -0.160236612
  2.30999899 -0.150427237
  2.32999802 -0.14117676
  2.349998 -0.132537663
  2.36999989 -0.124537505
  2.3900001 -0.117185153
  2.41000009 -0.110466599
  2.43000007 -0.104351155
  2.45000005 -0.0987933204
  2.47000003 -0.0937355757
  2.49000001 -0.089110665
  2.50999999 -0.0848458409
  2.52999997 -0.0808650851
  2.54999995 -0.077092506
  2.56999993 -0.0734540001
  2.58999991 -0.0698813647
  2.6099999 -0.0663127527
  2.63000011 -0.0626958311
  2.6500001 -0.0589884371
  2.67000008 -0.0551598668
  2.69000006 -0.0511913598
  2.71000004 -0.0470762514
  2.73000002 -0.0428197645
  2.75 -0.0384382792
  2.76999998 -0.0339588709
  2.78999901 -0.0294172298
  2.80999899 -0.0248563867
  2.82999897 -0.0203255545
  2.84999895 -0.0158775523
  2.86999893 -0.0115673263
  2.88999891 -0.00744959339
  2.90999889 -0.0035771837
  2.92999911  9.25913071E-07
  2.94999909  0.00324105518
  2.96999907  0.00610658526
  2.98999906  0.00856903289
  3.00999904  0.0106089655
  3.02999902  0.0122167068
  3.049999  0.0133927194
  3.06999898  0.014147562
  3.08999896  0.0145016033
  3.10999894  0.014484561
  3.12999892  0.014134557
  3.1499989  0.013497036
  3.16999888  0.0126235643
  3.1899991  0.0115701435
  3.21000004  0.0103958584
  3.23000002  0.00916129444
  3.25  0.00792655628
  3.26999998  0.00674984232
  3.28999996  0.00568583701
  3.30999994  0.00478428835
  3.32999992  0.00408871518
  3.3499999  0.00363532547
  3.36999989  0.00345217902
  3.3900001  0.0035585477
  3.41000009  0.00396463554
  3.43000007  0.00467145583
  3.45000005  0.00567103736
  3.47000003  0.00694692228
  3.49000001  0.00847478863
  3.50999999  0.0102234427
  3.52999997  0.0121558867
  3.54999995  0.0142305288
  3.56999993  0.0164027214
  3.58999991  0.0186259616
  3.6099999  0.0208535567
  3.63000011  0.0230400302
  3.6500001  0.0251424108
  3.67000008  0.0271217376
  3.69000006  0.0289440118
  3.71000004  0.0305814333
  3.73000002  0.0320127644
  3.75  0.0332245566
  3.76999998  0.0342106037
  3.78999901  0.0349729024
  3.80999899  0.0355210155
  3.82999897  0.0358716249
  3.84999895  0.0360481292
  3.86999893  0.0360796452
  3.88999891  0.035999991
  3.90999889  0.0358466282
  3.92999911  0.0356590934
  3.94999909  0.0354781672
  3.96999907  0.0353436954
  3.98999906  0.0352937393
  4.0099988  0.0353630222
  4.03000021  0.0355816782
  4.05000019  0.0359739475
  4.07000017  0.0365573503
  4.09000015  0.0373420455
  4.11000013  0.0383295119
  4.13000011  0.0395131409
  4.1500001  0.040877156
  4.17000008  0.0423976444
  4.19000006  0.0440422259
  4.21000004  0.0457710437
  4.23000002  0.0475371294
  4.25  0.0492883511
  4.26999998  0.0509676337
  4.28999901  0.052514907
  4.30999899  0.0538685545
  4.32999897  0.0549669042
  4.34999895  0.0557494611
  4.36999893  0.0561593398
  4.38999891  0.0561435893
  4.40999889  0.055656027
  4.42999887  0.0546572581
  4.44999886  0.0531170592
  4.46999884  0.0510139987
  4.48999882  0.0483374335
  4.5099988  0.0450872108
  4.52999878  0.041274365
  4.54999924  0.0369207226
  4.56999922  0.0320592187
  4.5899992  0.0267328396
  4.60999918  0.0209941119
  4.62999916  0.0149040427
  4.64999914  0.00853113271
  4.66999912  0.00194987119
  4.6899991 -0.00476066628
  4.70999908 -0.01151847
  4.72999907 -0.018240137
  4.74999905 -0.0248424858
  4.76999903 -0.0312444922
  4.78999901 -0.0373685695
  4.80999899 -0.0431422256
  4.82999897 -0.0484993421
  4.84999895 -0.0533814058
  4.86999893 -0.05773893
  4.88999891 -0.0615315139
  4.90999889 -0.0647293404
  4.92999887 -0.0673126355
  4.94999886 -0.0692728385
  4.96999884 -0.0706112832
  4.98999882 -0.0713404268
  5.0099988 -0.0714818686
  5.02999878 -0.071066238
  5.04999924 -0.0701321736
  5.06999922 -0.0687256083
  5.0899992 -0.0668984428
  5.10999918 -0.0647063628
  5.12999916 -0.0622084662
  5.14999914 -0.059466213
  5.16999912 -0.0565409102
  5.1899991 -0.053493008
  5.20999908 -0.0503808893
  5.22999907 -0.0472595654
  5.24999905 -0.0441795029
  5.26999903 -0.0411859713
  5.28999901 -0.0383183025
  5.30999899 -0.0356087312
  5.32999802 -0.0330831148
  5.349998 -0.0307594612
  5.36999798 -0.0286487173
  5.38999796 -0.02675483
  5.40999794 -0.0250746664
  5.42999792 -0.0235989355
  5.4499979 -0.0223122947
  5.46999788 -0.0211946275
  5.48999786 -0.0202213097
  5.50999784 -0.0193643738
  5.52999783 -0.0185932908
  5.54999781 -0.0178760551
  5.56999779 -0.017179966
  5.58999777 -0.0164725445
  5.60999823 -0.0157223437
  5.62999821 -0.0148999514
  5.64999819 -0.0139783537
  5.66999817 -0.0129337804
  5.68999815 -0.0117460648
  5.70999813 -0.0103990799
  5.72999811 -0.0088809263
  5.74999809 -0.00718413573
  5.76999807 -0.00530561246
  5.78999805 -0.00324657233
  5.80999804 -0.00101233914
  5.82999802  0.00138795248
