 Q (1/Ang),S-S  ,S-F  ,F-F  
   0.71000 ,    -0.493773541147222E+01 ,     0.111443914437231E+01 ,    -0.669485909765996E+00 , 
   0.73000 ,    -0.556165986449302E+01 ,     0.792287344338293E+00 ,    -0.746239662971847E+00 , 
   0.75000 ,    -0.621081903231106E+01 ,     0.464442496536917E+00 ,    -0.825820786903645E+00 , 
   0.77000 ,    -0.687020468795963E+01 ,     0.138750906751918E+00 ,    -0.906306986370832E+00 , 
   0.79000 ,    -0.752453207830952E+01 ,    -0.177138648523940E+00 ,    -0.985804981793169E+00 , 
   0.81000 ,    -0.815850647025393E+01 ,    -0.475917094695066E+00 ,    -0.106248471063817E+01 , 
   0.83000 ,    -0.875707698484574E+01 ,    -0.750741261234188E+00 ,    -0.113460995325371E+01 , 
   0.85000 ,    -0.930569015427170E+01 ,    -0.995350544934503E+00 ,    -0.120056691502814E+01 , 
   0.87000 ,    -0.979055154227924E+01 ,    -0.120417735446201E+01 ,    -0.125889179951794E+01 , 
   0.89000 ,    -0.101988504201073E+02 ,    -0.137243150307064E+01 ,    -0.130829206012710E+01 , 
   0.91000 ,    -0.105189983492855E+02 ,    -0.149618157605077E+01 ,    -0.134766758541778E+01 , 
   0.93000 ,    -0.107408354661474E+02 ,    -0.157241317742742E+01 ,    -0.137612645772094E+01 , 
   0.95000 ,    -0.108558173260815E+02 ,    -0.159907080195580E+01 ,    -0.139299704821880E+01 , 
   0.97000 ,    -0.108571781919560E+02 ,    -0.157508173326955E+01 ,    -0.139783633108328E+01 , 
   0.99000 ,    -0.107400602430388E+02 ,    -0.150036034356383E+01 ,    -0.139043321283812E+01 , 
   1.01000 ,    -0.105016131227530E+02 ,    -0.137579335735919E+01 ,    -0.137080818492954E+01 , 
   1.03000 ,    -0.101410766396850E+02 ,    -0.120321659122845E+01 ,    -0.133921008620861E+01 , 
   1.05000 ,    -0.965979134058124E+01 ,    -0.985355312192900E+00 ,    -0.129610586581382E+01 , 
   1.07000 ,    -0.906120657977814E+01 ,    -0.725766558448829E+00 ,    -0.124216935611477E+01 , 
   1.09000 ,    -0.835083671915400E+01 ,    -0.428758582914456E+00 ,    -0.117826537415905E+01 , 
   1.11000 ,    -0.753618355010610E+01 ,    -0.992988412802705E-01 ,    -0.110543089972686E+01 , 
   1.13000 ,    -0.662662326808933E+01 ,     0.257089063847888E+00 ,    -0.102485352520110E+01 , 
   1.15000 ,    -0.563325966301813E+01 ,     0.634437378642689E+00 ,    -0.937847619701683E+00 , 
   1.17000 ,    -0.456874583846556E+01 ,     0.102645287752935E+01 ,    -0.845828685047832E+00 , 
