 Q (1/Ang),S-S  ,S-F  ,F-F  
   2.37000 ,    -0.850992174039408E+00 ,    -0.120272576949145E+01 ,    -0.504319950993508E+00 , 
   2.39000 ,    -0.177661908634225E+01 ,    -0.329628972049949E+00 ,    -0.593698385922220E+00 , 
   2.41000 ,    -0.434019030836974E+01 ,     0.655522570481498E+00 ,    -0.778488395185656E+00 , 
   2.43000 ,    -0.770044408363345E+01 ,     0.146964980527953E+01 ,    -0.995466586570927E+00 , 
   2.45000 ,    -0.106103112889462E+02 ,     0.183542984110626E+01 ,    -0.115840468252161E+01 , 
   2.47000 ,    -0.117728033433547E+02 ,     0.155149999331245E+01 ,    -0.118252120104369E+01 , 
   2.49000 ,    -0.102309454973163E+02 ,     0.548382348896351E+00 ,    -0.101031750628382E+01 , 
   2.51000 ,    -0.567852085309320E+01 ,    -0.108499476444479E+01 ,    -0.631094277510855E+00 , 
   2.53000 ,     0.140077820501810E+01 ,    -0.311225930167083E+01 ,    -0.881052550279728E-01 , 
   2.55000 ,     0.981013464614599E+01 ,    -0.519666635885323E+01 ,     0.529181636376805E+00 , 
   2.57000 ,     0.179153824342629E+02 ,    -0.697351848032297E+01 ,     0.110592545286128E+01 , 
   2.59000 ,     0.240461890263328E+02 ,    -0.813041436519536E+01 ,     0.153023295193120E+01 , 
   2.61000 ,     0.269135095497020E+02 ,    -0.847555849344455E+01 ,     0.172113973411176E+01 , 
   2.63000 ,     0.259298701380741E+02 ,    -0.797732361523713E+01 ,     0.164852444102979E+01 , 
   2.65000 ,     0.213469205722052E+02 ,    -0.676568492712478E+01 ,     0.133956940396832E+01 , 
   2.67000 ,     0.141763454238311E+02 ,    -0.509605095699016E+01 ,     0.870257810975640E+00 , 
   2.69000 ,     0.592045697908271E+01 ,    -0.328570480020771E+01 ,     0.344645885158427E+00 , 
   2.71000 ,    -0.180976447630181E+01 ,    -0.163988963149543E+01 ,    -0.131989001598361E+00 , 
   2.73000 ,    -0.768321772171367E+01 ,    -0.386673279105938E+00 ,    -0.478517281449578E+00 , 
   2.75000 ,    -0.109402677310782E+02 ,     0.363411095295754E+00 ,    -0.654982027046134E+00 , 
   2.77000 ,    -0.115151910062920E+02 ,     0.624363102496859E+00 ,    -0.667129375069187E+00 , 
   2.79000 ,    -0.996763561997675E+01 ,     0.509283270808381E+00 ,    -0.558103158022406E+00 , 
   2.81000 ,    -0.725544712047118E+01 ,     0.182319026903556E+00 ,    -0.390698539944782E+00 , 
   2.83000 ,    -0.442358269210434E+01 ,    -0.196485440371847E+00 ,    -0.226120973155879E+00 , 
   2.85000 ,    -0.230273944128038E+01 ,    -0.516908309938960E+00 ,    -0.105846333474291E+00 , 
   2.87000 ,    -0.130240438271569E+01 ,    -0.742177370790705E+00 ,    -0.418093770430800E-01 , 
   2.89000 ,    -0.135022148779069E+01 ,    -0.905289664338391E+00 ,    -0.172624016274528E-01 , 
   2.91000 ,    -0.198358723434107E+01 ,    -0.108150411748406E+01 ,     0.280920639743683E-02 , 
   2.93000 ,    -0.255431156762966E+01 ,    -0.134777647259817E+01 ,     0.557663841818215E-01 , 
   2.95000 ,    -0.247616635386587E+01 ,    -0.174360158504391E+01 ,     0.165476951000947E+00 , 
   2.97000 ,    -0.143657254621087E+01 ,    -0.224677579953451E+01 ,     0.331852872214992E+00 , 
   2.99000 ,     0.491089108472178E+00 ,    -0.277237689932435E+01 ,     0.529105304142033E+00 , 
   3.01000 ,     0.286475743367887E+01 ,    -0.319547638681215E+01 ,     0.713114399701209E+00 , 
   3.03000 ,     0.501019862202564E+01 ,    -0.339022333865252E+01 ,     0.835338247741899E+00 , 
   3.05000 ,     0.623093440600818E+01 ,    -0.327245678804017E+01 ,     0.858623206665926E+00 , 
   3.07000 ,     0.602571135976721E+01 ,    -0.283164213733814E+01 ,     0.769750164065015E+00 , 
   3.09000 ,     0.424808899208201E+01 ,    -0.214112133439221E+01 ,     0.584680640872588E+00 , 
   3.11000 ,     0.116249891048238E+01 ,    -0.134242421584899E+01 ,     0.344850897874891E+00 , 
   3.13000 ,    -0.261665605132016E+01 ,    -0.607597842845189E+00 ,     0.105715412375665E+00 , 
   3.15000 ,    -0.628181939040188E+01 ,    -0.905958367240259E-01 ,    -0.788484492727101E-01 , 
   3.17000 ,    -0.903751052775813E+01 ,     0.117508946211850E+00 ,    -0.171442442534552E+00 , 
   3.19000 ,    -0.102953018170784E+02 ,     0.155720697485317E-01 ,    -0.160846443408884E+00 , 
   3.21000 ,    -0.980632559498384E+01 ,    -0.307026254282956E+00 ,    -0.637275123623470E-01 , 
   3.23000 ,    -0.770008839676610E+01 ,    -0.696954782600480E+00 ,     0.818836998950297E-01 , 
   3.25000 ,    -0.442674243064912E+01 ,    -0.983059394702840E+00 ,     0.229047524158191E+00 , 
   3.27000 ,    -0.626859243416098E+00 ,    -0.102833115191709E+01 ,     0.336252719261286E+00 , 
   3.29000 ,     0.302959813693181E+01 ,    -0.772039905234106E+00 ,     0.379164481849964E+00 , 
   3.31000 ,     0.598940741718775E+01 ,    -0.249181708535700E+00 ,     0.356301234645257E+00 , 
   3.33000 ,     0.791123219617704E+01 ,     0.418832381791415E+00 ,     0.287207232439358E+00 , 
   3.35000 ,     0.869275070898916E+01 ,     0.105963040760310E+01 ,     0.204114771179562E+00 , 
   3.37000 ,     0.843458423905554E+01 ,     0.150091033583235E+01 ,     0.140114237082013E+00 , 
   3.39000 ,     0.736352776625253E+01 ,     0.162170334624661E+01 ,     0.117842087602713E+00 , 
   3.41000 ,     0.574607978444228E+01 ,     0.138839442492582E+01 ,     0.142371481558594E+00 , 
   3.43000 ,     0.382087417763484E+01 ,     0.864600776349103E+00 ,     0.200489887089095E+00 , 
   3.45000 ,     0.176725222111671E+01 ,     0.191912131398088E+00 ,     0.266385452360231E+00 , 
   3.47000 ,    -0.288478707290815E+00 ,    -0.452670072657644E+00 ,     0.311650378501677E+00 , 
   3.49000 ,    -0.224189757533760E+01 ,    -0.909682850873577E+00 ,     0.316123416868252E+00 , 
   3.51000 ,    -0.397544104891777E+01 ,    -0.108446876108666E+01 ,     0.275865568970914E+00 , 
   3.53000 ,    -0.534018382154988E+01 ,    -0.974407662317091E+00 ,     0.205544600792144E+00 , 
   3.55000 ,    -0.616691525242440E+01 ,    -0.667843738889692E+00 ,     0.134359391786301E+00 , 
   3.57000 ,    -0.630620601810419E+01 ,    -0.315039228562530E+00 ,     0.967563604780134E-01 , 
   3.59000 ,    -0.568449151685843E+01 ,    -0.799956570962534E-01 ,     0.120895322813136E+00 , 
   3.61000 ,    -0.435516792967731E+01 ,    -0.878209072456907E-01 ,     0.218572793153258E+00 , 
   3.63000 ,    -0.252311677154875E+01 ,    -0.383718027367613E+00 ,     0.379879380612222E+00 , 
   3.65000 ,    -0.528195163092401E+00 ,    -0.916207645158595E+00 ,     0.574403316324826E+00 , 
   3.67000 ,     0.121426220951988E+01 ,    -0.154991877680163E+01 ,     0.758764928279377E+00 , 
   3.69000 ,     0.230403965416216E+01 ,    -0.210438931046837E+01 ,     0.888315425705268E+00 , 
   3.71000 ,     0.245510639293412E+01 ,    -0.240748404252140E+01 ,     0.929560711444896E+00 , 
   3.73000 ,     0.157629489617013E+01 ,    -0.234761206551400E+01 ,     0.869657932317896E+00 , 
   3.75000 ,    -0.189642040949593E+00 ,    -0.190921992009738E+01 ,     0.720225005218412E+00 , 
   3.77000 ,    -0.248142684037709E+01 ,    -0.118094424910384E+01 ,     0.514407020739768E+00 , 
   3.79000 ,    -0.478782054119278E+01 ,    -0.333842143643427E+00 ,     0.298123951815025E+00 , 
   3.81000 ,    -0.655429094088403E+01 ,     0.424126675381972E+00 ,     0.118078945384928E+00 , 
   3.83000 ,    -0.730307211120464E+01 ,     0.904310898487339E+00 ,     0.995186904217945E-02 , 
   3.85000 ,    -0.673882046153539E+01 ,     0.988221330552658E+00 ,    -0.998259884095599E-02 , 
   3.87000 ,    -0.481604296527398E+01 ,     0.658697946485315E+00 ,     0.523092293446140E-01 , 
   3.89000 ,    -0.175403992980356E+01 ,     0.292203542807862E-02 ,     0.171776465948024E+00 , 
   3.91000 ,     0.200254257531931E+01 ,    -0.812985259385569E+00 ,     0.312169154580667E+00 , 
   3.93000 ,     0.586756570823910E+01 ,    -0.158992982321005E+01 ,     0.436152965300203E+00 , 
   3.95000 ,     0.922299715007108E+01 ,    -0.214889445514975E+01 ,     0.514723884388923E+00 , 
   3.97000 ,     0.115317279920874E+02 ,    -0.237601404997394E+01 ,     0.533442991518927E+00 , 
   3.99000 ,     0.124322056080593E+02 ,    -0.224745120497576E+01 ,     0.494140457590525E+00 , 
   4.01000 ,     0.117986073426828E+02 ,    -0.182812651366615E+01 ,     0.412156113753847E+00 , 
   4.03000 ,     0.975772761542645E+01 ,    -0.124613002239371E+01 ,     0.310442287633316E+00 , 
   4.05000 ,     0.666175262763470E+01 ,    -0.651569051243480E+00 ,     0.212588892935748E+00 , 
   4.07000 ,     0.302325583632324E+01 ,    -0.172679862783689E+00 ,     0.136869114127780E+00 , 
   4.09000 ,    -0.575761522451929E+00 ,     0.117851793428477E+00 ,     0.928063265407357E-01 , 
   4.11000 ,    -0.358546011132605E+01 ,     0.217136611610237E+00 ,     0.807836612255291E-01 , 
   4.13000 ,    -0.558360328365158E+01 ,     0.183968638814655E+00 ,     0.942089475581964E-01 , 
   4.15000 ,    -0.634869135611950E+01 ,     0.112317974118749E+00 ,     0.123037346262249E+00 , 
   4.17000 ,    -0.589743656154872E+01 ,     0.957801544254368E-01 ,     0.157239702393014E+00 , 
   4.19000 ,    -0.447830127174655E+01 ,     0.194646257903653E+00 ,     0.189099359172229E+00 , 
   4.21000 ,    -0.251997909841257E+01 ,     0.415912078841056E+00 ,     0.213862103806851E+00 , 
   4.23000 ,    -0.542195574607960E+00 ,     0.712082605676322E+00 ,     0.228985398157233E+00 , 
   4.25000 ,     0.955378356104037E+00 ,     0.998519804502540E+00 ,     0.232761176413764E+00 , 
   4.27000 ,     0.160391747643950E+01 ,     0.118325068413028E+01 ,     0.223239735958382E+00 , 
   4.29000 ,     0.125140902811076E+01 ,     0.119937739345072E+01 ,     0.198129995518982E+00 , 
   4.31000 ,     0.239383864645466E-02 ,     0.102960993668879E+01 ,     0.155817439968495E+00 , 
   4.33000 ,    -0.180110607588380E+01 ,     0.715079789582069E+00 ,     0.970519712416860E-01 , 
   4.35000 ,    -0.365694027130973E+01 ,     0.345598165047171E+00 ,     0.264561402484856E-01 , 
   4.37000 ,    -0.502337482395366E+01 ,     0.343084685753170E-01 ,    -0.470421494430591E-01 , 
   4.39000 ,    -0.545551262496180E+01 ,    -0.115533619394643E+00 ,    -0.111407881913663E+00 , 
   4.41000 ,    -0.472401091354881E+01 ,    -0.415685139995347E-01 ,    -0.154273154025536E+00 , 
   4.43000 ,    -0.288462206439228E+01 ,     0.258213548439980E+00 ,    -0.166575970228206E+00 , 
   4.45000 ,    -0.277821139203598E+00 ,     0.723376436862915E+00 ,    -0.145899837412891E+00 , 
   4.47000 ,     0.254503878014606E+01 ,     0.124688955198949E+01 ,    -0.982879767138297E-01 , 
   4.49000 ,     0.495324526231962E+01 ,     0.170422729507720E+01 ,    -0.376858639072693E-01 , 
   4.51000 ,     0.639384095384485E+01 ,     0.198722595637866E+01 ,     0.171162249351839E-01 , 
   4.53000 ,     0.653383242186420E+01 ,     0.203299574264176E+01 ,     0.473423756201911E-01 , 
   4.55000 ,     0.534927721861240E+01 ,     0.183983541428200E+01 ,     0.395372018762785E-01 , 
   4.57000 ,     0.313597196112471E+01 ,     0.146603409094163E+01 ,    -0.102883145114636E-01 , 
   4.59000 ,     0.436929091509547E+00 ,     0.101244045924287E+01 ,    -0.950205321492696E-01 , 
   4.61000 ,    -0.209563520200365E+01 ,     0.594239440826697E+00 ,    -0.197956783409499E+00 , 
   4.63000 ,    -0.386777367904638E+01 ,     0.310193048872587E+00 ,    -0.297161549461388E+00 , 
   4.65000 ,    -0.449596704904365E+01 ,     0.217934074608573E+00 ,    -0.371468546251926E+00 , 
   4.67000 ,    -0.390276690665253E+01 ,     0.321766730785698E+00 ,    -0.406388422693430E+00 , 
   4.69000 ,    -0.232989490692769E+01 ,     0.575565561762443E+00 ,    -0.398166194053906E+00 , 
   4.71000 ,    -0.265459853705914E+00 ,     0.898978765925381E+00 ,    -0.354761694930956E+00 , 
   4.73000 ,     0.169419491603145E+01 ,     0.120152967391986E+01 ,    -0.293443090951846E+00 , 
   4.75000 ,     0.300929638266002E+01 ,     0.140736854819526E+01 ,    -0.235705352340767E+00 , 
   4.77000 ,     0.334209274154883E+01 ,     0.147377915398253E+01 ,    -0.201034150113634E+00 , 
   4.79000 ,     0.264273234240843E+01 ,     0.139884647266532E+01 ,    -0.201378031143882E+00 , 
   4.81000 ,     0.115259143948109E+01 ,     0.121714325633797E+01 ,    -0.237961408563178E+00 , 
   4.83000 ,    -0.674212533740433E+00 ,     0.985808019764255E+00 ,    -0.301341528565422E+00 , 
   4.85000 ,    -0.230707240261014E+01 ,     0.765933707368824E+00 ,    -0.374614233109702E+00 , 
   4.87000 ,    -0.329271349074032E+01 ,     0.605089830449385E+00 ,    -0.438718906260085E+00 , 
   4.89000 ,    -0.338206986513074E+01 ,     0.525920969392556E+00 ,    -0.478178519827347E+00 , 
   4.91000 ,    -0.259435732301770E+01 ,     0.523501279557178E+00 ,    -0.485521934348526E+00 , 
   4.93000 ,    -0.120145931478596E+01 ,     0.571261830330973E+00 ,    -0.463090575371978E+00 , 
   4.95000 ,     0.360663191800483E+00 ,     0.632750636288886E+00 ,    -0.421777167171357E+00 , 
   4.97000 ,     0.162561905750595E+01 ,     0.674979630352463E+00 ,    -0.377207220174917E+00 , 
   4.99000 ,     0.223477978191331E+01 ,     0.679030064654423E+00 ,    -0.344649834875510E+00 , 
   5.01000 ,     0.203912436841067E+01 ,     0.644839247328750E+00 ,    -0.334294201778133E+00 , 
   5.03000 ,     0.113558762841902E+01 ,     0.589188192845762E+00 ,    -0.348353254951313E+00 , 
   5.05000 ,    -0.171066405163103E+00 ,     0.538140403462995E+00 ,    -0.380826201503393E+00 , 
   5.07000 ,    -0.146739377128162E+01 ,     0.516846748030120E+00 ,    -0.419879644948835E+00 , 
   5.09000 ,    -0.236004726205592E+01 ,     0.540255965667282E+00 ,    -0.451976857489380E+00 , 
   5.11000 ,    -0.259462340004196E+01 ,     0.607736024029892E+00 ,    -0.466359669481298E+00 , 
   5.13000 ,    -0.212891045410311E+01 ,     0.703166942269277E+00 ,    -0.458426074349461E+00 , 
   5.15000 ,    -0.113941080232836E+01 ,     0.800224032589572E+00 ,    -0.430954775796621E+00 , 
   5.17000 ,     0.393709334566089E-01 ,     0.870932718927598E+00 ,    -0.392860423820264E+00 , 
   5.19000 ,     0.102301763025736E+01 ,     0.894638704875385E+00 ,    -0.355974683232977E+00 , 
   5.21000 ,     0.149883599355192E+01 ,     0.864546115078716E+00 ,    -0.330974285069868E+00 , 
   5.23000 ,     0.132371704011414E+01 ,     0.789867840394315E+00 ,    -0.323820570412575E+00 , 
   5.25000 ,     0.568741891453557E+00 ,     0.693075098773617E+00 ,    -0.333867568606256E+00 , 
   5.27000 ,    -0.502354872421547E+00 ,     0.603248733732609E+00 ,    -0.354217078237345E+00 , 
   5.29000 ,    -0.151358837056711E+01 ,     0.547655611824410E+00 ,    -0.374147622491704E+00 , 
   5.31000 ,    -0.209112553979648E+01 ,     0.544086252559582E+00 ,    -0.382768756498721E+00 , 
   5.33000 ,    -0.197703522584364E+01 ,     0.596119850840281E+00 ,    -0.372671154558714E+00 , 
   5.35000 ,    -0.110852562822729E+01 ,     0.692498730083851E+00 ,    -0.342373074104792E+00 , 
   5.37000 ,     0.360309817350605E+00 ,     0.810537003798765E+00 ,    -0.296785193303718E+00 , 
   5.39000 ,     0.209974918536515E+01 ,     0.922352934206119E+00 ,    -0.245581391319459E+00 , 
