 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   0.84600 ,    -0.102168698947106E+02 ,     0.255657980356556E+01 ,     0.468438283413558E+00 ,    -0.102341192579454E+02 ,    -0.169371619516035E+01 ,    -0.315805156247893E+01 , 
   0.86600 ,    -0.111702675517174E+02 ,     0.411647357305730E+01 ,     0.421163171914973E+00 ,    -0.111847402458132E+02 ,    -0.254824268655223E+01 ,    -0.352687781167081E+01 , 
   0.88600 ,    -0.115003706836303E+02 ,     0.527200964022094E+01 ,     0.336527741307126E+00 ,    -0.115114482113554E+02 ,    -0.314208525051805E+01 ,    -0.370429880274768E+01 , 
   0.90600 ,    -0.111884658913704E+02 ,     0.592157349970710E+01 ,     0.220856881459811E+00 ,    -0.111957859587021E+02 ,    -0.342839173253590E+01 ,    -0.367908879206419E+01 , 
   0.92600 ,    -0.102762402994295E+02 ,     0.600956340549886E+01 ,     0.831128831719828E-01 ,    -0.102797382378284E+02 ,    -0.338894985091274E+01 ,    -0.345927755928715E+01 , 
   0.94600 ,    -0.886064337852838E+01 ,     0.553096013107629E+01 ,    -0.658082723838655E-01 ,    -0.886057315714455E+01 ,    -0.303504482354864E+01 ,    -0.307087166900748E+01 , 
   0.96600 ,    -0.708388848653202E+01 ,     0.453156274563410E+01 ,    -0.213926791039728E+00 ,    -0.708082057430733E+01 ,    -0.240576674367533E+01 ,    -0.255497920903235E+01 , 
   0.98600 ,    -0.511959849011242E+01 ,     0.310388496133341E+01 ,    -0.349105159176883E+00 ,    -0.511439345349028E+01 ,    -0.156397412113209E+01 ,    -0.196363782911720E+01 , 
   1.00600 ,    -0.315641499348242E+01 ,     0.137906329192275E+01 ,    -0.459977011262270E+00 ,    -0.315017353813424E+01 ,    -0.590310048564272E+00 ,    -0.135475367117572E+01 , 
   1.02600 ,    -0.138058226270996E+01 ,    -0.484544110906993E+00 ,    -0.536808169557219E+00 ,    -0.137457431007617E+01 ,     0.424179993108001E+00 ,    -0.786627985666842E+00 , 
   1.04600 ,     0.409289299401304E-01 ,    -0.231511693085017E+01 ,    -0.572227853798890E+00 ,     0.453517516045824E-01 ,     0.138617621544942E+01 ,    -0.312573628016976E+00 , 
   1.06600 ,     0.975277061821988E+00 ,    -0.394234478870218E+01 ,    -0.561781336698635E+00 ,     0.976779593286135E+00 ,     0.220825894844078E+01 ,     0.238960682373516E-01 , 
   1.08600 ,     0.133531758487263E+01 ,    -0.521236489883885E+01 ,    -0.504271813911422E+00 ,     0.133268291690142E+01 ,     0.281644169404558E+01 ,     0.192885641154766E+00 , 
   1.10600 ,     0.108693414730474E+01 ,    -0.600141840367055E+01 ,    -0.401877277524101E+00 ,     0.107916131874071E+01 ,     0.315644340913260E+01 ,     0.180620791126949E+00 , 
   1.12600 ,     0.251579654635075E+00 ,    -0.622708043001244E+01 ,    -0.260045995754173E+00 ,     0.237969553726761E+00 ,     0.319819846429306E+01 ,    -0.956095760880962E-02 , 
   1.14600 ,    -0.109609263108729E+01 ,    -0.585611447530022E+01 ,    -0.871902021602622E-01 ,    -0.111587026552376E+01 ,     0.293825923242369E+01 ,    -0.357790088329273E+00 , 
   1.16600 ,    -0.283519406929481E+01 ,    -0.490827526730089E+01 ,     0.105789536843953E+00 ,    -0.286105842183733E+01 ,     0.239992766090546E+01 ,    -0.829731284102413E+00 , 
   1.18600 ,    -0.480945257813726E+01 ,    -0.345571372593388E+01 ,     0.306107993416589E+00 ,    -0.484089840853010E+01 ,     0.163114299767821E+01 ,    -0.137992023802038E+01 , 
   1.20600 ,    -0.684091961081902E+01 ,    -0.161799647547849E+01 ,     0.499781379271402E+00 ,    -0.687703469690054E+01 ,     0.700337203342032E+00 ,    -0.195604563352514E+01 , 
   1.22600 ,    -0.874527663524222E+01 ,     0.446888558274085E+00 ,     0.672350361250486E+00 ,    -0.878478948472977E+01 ,    -0.309367466499174E+00 ,    -0.250377241728372E+01 , 
   1.24600 ,    -0.103473784636778E+02 ,     0.255483875304977E+01 ,     0.809598456735341E+00 ,    -0.103887332921878E+02 ,    -0.130711551809946E+01 ,    -0.297166175467020E+01 , 
   1.26600 ,    -0.114956866959046E+02 ,     0.451027952910673E+01 ,     0.898231219245114E+00 ,    -0.115371403591875E+02 ,    -0.220184198272014E+01 ,    -0.331574297595466E+01 , 
