       Q,      F(Q)_RMC,  F(Q)_Expt
      0.7599998 ,      -1.2886227 ,      -0.6269307
      0.7799998 ,      -1.1320822 ,      -0.5733611
      0.7999998 ,      -0.9886163 ,      -0.5292112
      0.8199998 ,      -0.8615025 ,      -0.4965029
      0.8399998 ,      -0.7535355 ,      -0.4768955
      0.8599998 ,      -0.6669757 ,      -0.4716520
      0.8799998 ,      -0.6035096 ,      -0.4816148
      0.8999998 ,      -0.5642213 ,      -0.5071901
      0.9199998 ,      -0.5495787 ,      -0.5483420
      0.9399998 ,      -0.5594311 ,      -0.6045964
      0.9599998 ,      -0.5930209 ,      -0.6750535
      0.9799998 ,      -0.6490069 ,      -0.7584106
      0.9999998 ,      -0.7255007 ,      -0.8529921
      1.0199998 ,      -0.8201127 ,      -0.9567881
      1.0399998 ,      -0.9300097 ,      -1.0674997
      1.0599998 ,      -1.0519799 ,      -1.1825905
      1.0799998 ,      -1.1825062 ,      -1.2993422
      1.0999998 ,      -1.3178447 ,      -1.4149149
      1.1199998 ,      -1.4541073 ,      -1.5264093
      1.1399998 ,      -1.5873471 ,      -1.6309296
      1.1599998 ,      -1.7136439 ,      -1.7256469
      1.1799998 ,      -1.8291887 ,      -1.8078608
      1.1999998 ,      -1.9303655 ,      -1.8750582
      1.2199998 ,      -2.0138283 ,      -1.9249683
      1.2399998 ,      -2.0765724 ,      -1.9556124
      1.2599998 ,      -2.1159976 ,      -1.9653480
      1.2799998 ,      -2.1299639 ,      -1.9529056
      1.2999998 ,      -2.1168363 ,      -1.9174185
      1.3199998 ,      -2.0755196 ,      -1.8584440
      1.3399998 ,      -2.0054825 ,      -1.7759765
      1.3599998 ,      -1.9067695 ,      -1.6704514
      1.3799998 ,      -1.7800014 ,      -1.5427410
      1.3999998 ,      -1.6263647 ,      -1.3941412
      1.4199998 ,      -1.4475888 ,      -1.2263500
      1.4399998 ,      -1.2459137 ,      -1.0414388
      1.4599998 ,      -1.0240471 ,      -0.8418156
      1.4799998 ,      -0.7851124 ,      -0.6301825
      1.4999998 ,      -0.5325896 ,      -0.4094872
      1.5199998 ,      -0.2702483 ,      -0.1828704
      1.5399998 ,      -0.0020771 ,       0.0463908
      1.5599998 ,       0.2677921 ,       0.2749420
      1.5799998 ,       0.5351617 ,       0.4994109
      1.5999998 ,       0.7958467 ,       0.7164681
      1.6199998 ,       1.0457518 ,       0.9228864
      1.6399998 ,       1.2809473 ,       1.1155971
      1.6599998 ,       1.4977402 ,       1.2917447
      1.6799998 ,       1.6927410 ,       1.4487361
      1.6999998 ,       1.8629238 ,       1.5842854
      1.7199998 ,       2.0056796 ,       1.6964525
      1.7399998 ,       2.1188610 ,       1.7836754
      1.7599998 ,       2.2008176 ,       1.8447956
      1.7799998 ,       2.2504228 ,       1.8790754
      1.7999998 ,       2.2670900 ,       1.8862082
      1.8199998 ,       2.2507785 ,       1.8663210
      1.8399998 ,       2.2019902 ,       1.8199684
      1.8599998 ,       2.1217556 ,       1.7481200
      1.8799998 ,       2.0116111 ,       1.6521402
      1.8999998 ,       1.8735666 ,       1.5337608
      1.9199998 ,       1.7100656 ,       1.3950484
      1.9399998 ,       1.5239382 ,       1.2383652
      1.9599998 ,       1.3183468 ,       1.0663262
      1.9799998 ,       1.0967277 ,       0.8817516
      1.9999998 ,       0.8627281 ,       0.6876166
      2.0199998 ,       0.6201406 ,       0.4869996
      2.0399998 ,       0.3728358 ,       0.2830283
      2.0599998 ,       0.1246949 ,       0.0788271
      2.0799998 ,      -0.1204569 ,      -0.1225358
      2.0999998 ,      -0.3589147 ,      -0.3180988
      2.1199998 ,      -0.5871554 ,      -0.5050551
      2.1399998 ,      -0.8018940 ,      -0.6807967
      2.1599998 ,      -1.0001358 ,      -0.8429551
      2.1799998 ,      -1.1792216 ,      -0.9894363
      2.1999998 ,      -1.3368665 ,      -1.1184509
      2.2199998 ,      -1.4711914 ,      -1.2285379
      2.2399998 ,      -1.5807467 ,      -1.3185829
      2.2599998 ,      -1.6645277 ,      -1.3878294
      2.2799998 ,      -1.7219825 ,      -1.4358840
      2.2999998 ,      -1.7530113 ,      -1.4627146
      2.3199998 ,      -1.7579578 ,      -1.4686430
      2.3399998 ,      -1.7375932 ,      -1.4543310
      2.3599998 ,      -1.6930931 ,      -1.4207610
      2.3799998 ,      -1.6260078 ,      -1.3692112
      2.3999998 ,      -1.5382262 ,      -1.3012265
      2.4199998 ,      -1.4319354 ,      -1.2185845
      2.4399998 ,      -1.3095754 ,      -1.1232593
      2.4599998 ,      -1.1737906 ,      -1.0173818
      2.4799998 ,      -1.0273787 ,      -0.9031980
      2.4999998 ,      -0.8732381 ,      -0.7830268
      2.5199998 ,      -0.7143151 ,      -0.6592170
      2.5399998 ,      -0.5535509 ,      -0.5341048
      2.5599998 ,      -0.3938300 ,      -0.4099726
      2.5799998 ,      -0.2379314 ,      -0.2890098
      2.5999998 ,      -0.0884824 ,      -0.1732757
      2.6199998 ,       0.0520845 ,      -0.0646663
      2.6399998 ,       0.1815688 ,       0.0351157
      2.6599998 ,       0.2980356 ,       0.1245867
      2.6799998 ,       0.3998427 ,       0.2025027
      2.6999998 ,       0.4856627 ,       0.2678758
      2.7199998 ,       0.5544981 ,       0.3199854
      2.7399998 ,       0.6056908 ,       0.3583835
      2.7599998 ,       0.6389252 ,       0.3828958
      2.7799998 ,       0.6542245 ,       0.3936172
      2.7999998 ,       0.6519418 ,       0.3909022
      2.8199998 ,       0.6327447 ,       0.3753510
      2.8399998 ,       0.5975947 ,       0.3477913
      2.8599998 ,       0.5477221 ,       0.3092557
      2.8799998 ,       0.4845960 ,       0.2609564
      2.8999998 ,       0.4098906 ,       0.2042567
      2.9199998 ,       0.3254486 ,       0.1406399
      2.9399998 ,       0.2332420 ,       0.0716774
      2.9599998 ,       0.1353319 ,      -0.0010047
      2.9799998 ,       0.0338261 ,      -0.0757597
      2.9999998 ,      -0.0691617 ,      -0.1509533
      3.0199998 ,      -0.1715533 ,      -0.2249960
