   r (Ang),     Ga-Ga,     Ga-P ,     Ga-O ,     P-P  ,     P-O  ,     O-O  
   0.00500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.01500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.02500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.03500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.04500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.05500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.06500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.07500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.08500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.09500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.10500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.11500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.12500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.13500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.14500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.15500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.16500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.17500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.18500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.19500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.20500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.21500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.22500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.23500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.24500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.25500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.26500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.27500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.28500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.29500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.30500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.31500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.32500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.33500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.34500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.35500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.36500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.37500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.38500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.39500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.40500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.41500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.42500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.43500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.44500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.45500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.46500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.47500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.48500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.49500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
   0.50500,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000
