  Q (1/Ang),       Ga-Ga,       Ga-P ,       Ga-O ,       P-P  ,       P-O  ,       O-O  
  1.0200000,  -6.6379005,   3.3705234,   0.6759418,  -6.6796198,  -0.5140752,  -1.1141216
  1.0400000,  -7.1046750,   3.5297309,   0.6032302,  -7.1426389,  -0.5373168,  -1.1779493
  1.0600000,  -7.5402675,   3.5972512,   0.5167942,  -7.5737888,  -0.5478059,  -1.2493024
  1.0800000,  -7.9283588,   3.5668111,   0.4186708,  -7.9568978,  -0.5447099,  -1.3261335
  1.1000000,  -8.2533370,   3.4341413,   0.3110744,  -8.2765075,  -0.5273861,  -1.4062655
  1.1200000,  -8.5006828,   3.1971297,   0.1963460,  -8.5182535,  -0.4953943,  -1.4874421
  1.1400000,  -8.6573297,   2.8559274,   0.0769012,  -8.6692219,  -0.4485055,  -1.5673797
  1.1600000,  -8.7119911,   2.4130057,  -0.0448206,  -8.7182730,  -0.3867080,  -1.6438187
  1.1800000,  -8.6554475,   1.8731593,  -0.1664052,  -8.6563248,  -0.3102090,  -1.7145749
  1.2000000,  -8.4807867,   1.2434569,  -0.2855102,  -8.4765908,  -0.2194335,  -1.7775890
  1.2200000,  -8.1835915,   0.5331372,  -0.3999078,  -8.1747645,  -0.1150188,  -1.8309722
  1.2400000,  -7.7620709,  -0.2465455,  -0.5075236,  -7.7491493,   0.0021943,  -1.8730495
  1.2600000,  -7.2171326,  -1.0825266,  -0.6064696,  -7.2007289,   0.1311737,  -1.9023965
  1.2800000,  -6.5523946,  -1.9601803,  -0.6950725,  -6.5331780,   0.2707118,  -1.9178726
  1.3000000,  -5.7741353,  -2.8636097,  -0.7718961,  -5.7528121,   0.4194432,  -1.9186464
  1.3200000,  -4.8911852,  -3.7759710,  -0.8357569,  -4.8684789,   0.5758668,  -1.9042153
  1.3400000,  -3.9147611,  -4.6798240,  -0.8857350,  -3.8913931,   0.7383679,  -1.8744182
  1.3600000,  -2.8582479,  -5.5575024,  -0.9211776,  -2.8349193,   0.9052443,  -1.8294402
  1.3800000,  -1.7369323,  -6.3914951,  -0.9416980,  -1.7143064,   1.0747320,  -1.7698110
  1.4000000,  -0.5676953,  -7.1648293,  -0.9471688,  -0.5463825,   1.2450324,  -1.6963945
  1.4200000,   0.6313306,  -7.8614476,  -0.9377098,   0.6507861,   1.4143402,  -1.6103727
  1.4400000,   1.8411296,  -8.4665691,  -0.9136725,   1.8582616,   1.5808705,  -1.5132224
  1.4600000,   3.0421908,  -8.9670279,  -0.8756205,   3.0566193,   1.7428850,  -1.4066850
  1.4800000,   4.2149053,  -9.3515781,  -0.8243069,   4.2263433,   1.8987182,  -1.2927316
  1.5000000,   5.3399643,  -9.6111611,  -0.7606493,   5.3482214,   2.0468004,  -1.1735223
  1.5200000,   6.3987501,  -9.7391261,  -0.6857044,   6.4037343,   2.1856797,  -1.0513623
  1.5400000,   7.3737108,  -9.7314001,  -0.6006405,   7.3754268,   2.3140410,  -0.9286538
  1.5600000,   8.2487100,  -9.5866015,  -0.5067107,   8.2472566,   2.4307225,  -0.8078460
  1.5800000,   9.0093466,  -9.3060958,  -0.4052270,   9.0049106,   2.5347291,  -0.6913843
