 EXAFS #1,   chi(k)*k^2
      k    ,  calculated  ,  experiment
 2.100 ,     0.13033 ,     1.14395
 2.150 ,     0.18291 ,     1.34720
 2.200 ,     0.24195 ,     1.55499
 2.250 ,     0.31007 ,     1.75471
 2.300 ,     0.38835 ,     1.94747
 2.350 ,     0.48415 ,     2.06764
 2.400 ,     0.61013 ,     2.06102
 2.450 ,     0.77558 ,     1.92962
 2.500 ,     0.97265 ,     1.67178
 2.550 ,     1.18963 ,     1.30697
 2.600 ,     1.41803 ,     0.96653
 2.650 ,     1.64421 ,     0.67304
 2.700 ,     1.84582 ,     0.39402
 2.750 ,     2.00134 ,     0.15266
 2.800 ,     2.09369 ,    -0.01210
 2.850 ,     2.11169 ,    -0.10016
 2.900 ,     2.05329 ,    -0.13867
 2.950 ,     1.92066 ,    -0.16162
 3.000 ,     1.71962 ,    -0.19800
 3.050 ,     1.46033 ,    -0.27471
 3.100 ,     1.15641 ,    -0.41862
 3.150 ,     0.82215 ,    -0.61962
 3.200 ,     0.47099 ,    -0.85429
 3.250 ,     0.11467 ,    -1.09708
 3.300 ,    -0.23674 ,    -1.33495
 3.350 ,    -0.57447 ,    -1.54407
 3.400 ,    -0.89075 ,    -1.68734
 3.450 ,    -1.17844 ,    -1.75257
 3.500 ,    -1.43178 ,    -1.73872
 3.550 ,    -1.64637 ,    -1.65035
 3.600 ,    -1.81904 ,    -1.53060
 3.650 ,    -1.94745 ,    -1.39857
 3.700 ,    -2.02904 ,    -1.31349
 3.750 ,    -2.06177 ,    -1.26989
 3.800 ,    -2.04485 ,    -1.23230
 3.850 ,    -1.97953 ,    -1.13869
 3.900 ,    -1.86991 ,    -0.97901
 3.950 ,    -1.72253 ,    -0.77181
 4.000 ,    -1.54583 ,    -0.54497
 4.050 ,    -1.34962 ,    -0.34766
 4.100 ,    -1.14451 ,    -0.22278
 4.150 ,    -0.94137 ,    -0.17489
 4.200 ,    -0.74997 ,    -0.17739
 4.250 ,    -0.57722 ,    -0.16860
 4.300 ,    -0.42595 ,    -0.09255
 4.350 ,    -0.29602 ,     0.06566
 4.400 ,    -0.18436 ,     0.28772
 4.450 ,    -0.08487 ,     0.48668
 4.500 ,     0.01132 ,     0.62957
 4.550 ,     0.11401 ,     0.74022
 4.600 ,     0.23254 ,     0.89233
 4.650 ,     0.37492 ,     1.13737
 4.700 ,     0.54692 ,     1.46271
 4.750 ,     0.75032 ,     1.90903
 4.800 ,     0.98197 ,     2.37083
 4.850 ,     1.23373 ,     2.66278
 4.900 ,     1.49289 ,     2.64638
