     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   0.25000 ,    0.22974 ,    0.21230 ,    0.31281 ,    0.13463 ,    0.07695 ,    0.15507
   0.26000 ,    0.20800 ,    0.24688 ,    0.32282 ,    0.12977 ,    0.08841 ,    0.15703
   0.27000 ,    0.17875 ,    0.27618 ,    0.32898 ,    0.12280 ,    0.09850 ,    0.15742
   0.28000 ,    0.14357 ,    0.29843 ,    0.33117 ,    0.11415 ,    0.10671 ,    0.15626
   0.29000 ,    0.10444 ,    0.31234 ,    0.32934 ,    0.10439 ,    0.11267 ,    0.15360
   0.30000 ,    0.06364 ,    0.31718 ,    0.32350 ,    0.09415 ,    0.11618 ,    0.14954
   0.31000 ,    0.02355 ,    0.31282 ,    0.31371 ,    0.08411 ,    0.11721 ,    0.14427
   0.32000 ,   -0.01350 ,    0.29978 ,    0.30009 ,    0.07493 ,    0.11589 ,    0.13801
   0.33000 ,   -0.04539 ,    0.27916 ,    0.28282 ,    0.06722 ,    0.11255 ,    0.13110
   0.34000 ,   -0.07033 ,    0.25257 ,    0.26218 ,    0.06147 ,    0.10765 ,    0.12396
   0.35000 ,   -0.08706 ,    0.22206 ,    0.23851 ,    0.05807 ,    0.10176 ,    0.11717
   0.36000 ,   -0.09484 ,    0.18990 ,    0.21227 ,    0.05722 ,    0.09556 ,    0.11138
   0.37000 ,   -0.09359 ,    0.15853 ,    0.18410 ,    0.05895 ,    0.08974 ,    0.10737
   0.38000 ,   -0.08386 ,    0.13029 ,    0.15494 ,    0.06312 ,    0.08498 ,    0.10586
   0.39000 ,   -0.06677 ,    0.10731 ,    0.12639 ,    0.06939 ,    0.08193 ,    0.10736
   0.40000 ,   -0.04399 ,    0.09138 ,    0.10142 ,    0.07729 ,    0.08111 ,    0.11204
   0.41000 ,   -0.01758 ,    0.08377 ,    0.08560 ,    0.08623 ,    0.08291 ,    0.11962
   0.42000 ,    0.01012 ,    0.08518 ,    0.08578 ,    0.09554 ,    0.08756 ,    0.12959
   0.43000 ,    0.03668 ,    0.09569 ,    0.10248 ,    0.10449 ,    0.09512 ,    0.14130
   0.44000 ,    0.05971 ,    0.11472 ,    0.12933 ,    0.11238 ,    0.10546 ,    0.15412
   0.45000 ,    0.07706 ,    0.14111 ,    0.16077 ,    0.11856 ,    0.11828 ,    0.16747
   0.46000 ,    0.08695 ,    0.17316 ,    0.19377 ,    0.12249 ,    0.13312 ,    0.18090
   0.47000 ,    0.08811 ,    0.20879 ,    0.22662 ,    0.12374 ,    0.14942 ,    0.19400
   0.48000 ,    0.07983 ,    0.24565 ,    0.25829 ,    0.12205 ,    0.16651 ,    0.20645
   0.49000 ,    0.06207 ,    0.28126 ,    0.28803 ,    0.11736 ,    0.18370 ,    0.21799
   0.50000 ,    0.03539 ,    0.31326 ,    0.31525 ,    0.10976 ,    0.20031 ,    0.22841
   0.51000 ,    0.00098 ,    0.33948 ,    0.33948 ,    0.09951 ,    0.21571 ,    0.23756
   0.52000 ,   -0.03947 ,    0.35816 ,    0.36033 ,    0.08704 ,    0.22939 ,    0.24535
