 EXAFS #2,   chi(k)*k^2
      k    ,  calculated  ,  experiment
 2.500 ,    -1.35773 ,    -0.78173
 2.550 ,    -1.31483 ,    -0.68534
 2.600 ,    -1.22090 ,    -0.55593
 2.650 ,    -1.09794 ,    -0.39017
 2.700 ,    -0.95038 ,    -0.17398
 2.750 ,    -0.76867 ,     0.07536
 2.800 ,    -0.54434 ,     0.37165
 2.850 ,    -0.27877 ,     0.71433
 2.900 ,     0.01586 ,     1.07664
 2.950 ,     0.32618 ,     1.47289
 3.000 ,     0.64006 ,     1.84611
 3.050 ,     0.94535 ,     2.01587
 3.100 ,     1.22660 ,     1.81842
 3.150 ,     1.46707 ,     1.36658
 3.200 ,     1.65115 ,     0.77897
 3.250 ,     1.76644 ,     0.31585
 3.300 ,     1.80534 ,     0.05578
 3.350 ,     1.76421 ,    -0.05019
 3.400 ,     1.64319 ,    -0.03015
 3.450 ,     1.44638 ,     0.04515
 3.500 ,     1.18198 ,     0.09945
 3.550 ,     0.86184 ,     0.04635
 3.600 ,     0.50063 ,    -0.14339
 3.650 ,     0.11493 ,    -0.40931
 3.700 ,    -0.27779 ,    -0.76439
 3.750 ,    -0.65983 ,    -1.09584
 3.800 ,    -1.01395 ,    -1.33580
 3.850 ,    -1.32424 ,    -1.45277
 3.900 ,    -1.57666 ,    -1.44189
 3.950 ,    -1.75967 ,    -1.32844
 4.000 ,    -1.86457 ,    -1.17148
 4.050 ,    -1.88611 ,    -1.03351
 4.100 ,    -1.82319 ,    -0.92988
 4.150 ,    -1.67840 ,    -0.82699
 4.200 ,    -1.45777 ,    -0.63722
 4.250 ,    -1.17063 ,    -0.29121
 4.300 ,    -0.82948 ,     0.23968
 4.350 ,    -0.44930 ,     0.90419
 4.400 ,    -0.04689 ,     1.51762
 4.450 ,     0.35919 ,     1.96573
 4.500 ,     0.74867 ,     2.08118
 4.550 ,     1.10123 ,     1.80630
 4.600 ,     1.39784 ,     1.25976
 4.650 ,     1.62178 ,     0.68148
 4.700 ,     1.75934 ,     0.26006
 4.750 ,     1.80097 ,     0.05499
 4.800 ,     1.74230 ,     0.00197
 4.850 ,     1.58487 ,    -0.00955
 4.900 ,     1.33670 ,    -0.08255
 4.950 ,     1.01250 ,    -0.20689
 5.000 ,     0.63301 ,    -0.35778
 5.050 ,     0.22377 ,    -0.44956
 5.100 ,    -0.18641 ,    -0.41942
 5.150 ,    -0.56786 ,    -0.29342
 5.200 ,    -0.89291 ,    -0.16133
 5.250 ,    -1.13881 ,    -0.10646
 5.300 ,    -1.28988 ,    -0.15180
 5.350 ,    -1.33892 ,    -0.25873
 5.400 ,    -1.28821 ,    -0.32970
 5.450 ,    -1.14955 ,    -0.29739
 5.500 ,    -0.94276 ,    -0.19600
 5.550 ,    -0.69315 ,    -0.11619
 5.600 ,    -0.42857 ,    -0.10904
 5.650 ,    -0.17643 ,    -0.14394
 5.700 ,     0.03870 ,    -0.19492
 5.750 ,     0.19812 ,    -0.25298
 5.800 ,     0.29145 ,    -0.30864
 5.850 ,     0.31809 ,    -0.34588
 5.900 ,     0.28658 ,    -0.37676
 5.950 ,     0.21227 ,    -0.36636
 6.000 ,     0.11540 ,    -0.25496
 6.050 ,     0.01914 ,    -0.04204
 6.100 ,    -0.05241 ,     0.19547
 6.150 ,    -0.07776 ,     0.33664
 6.200 ,    -0.04140 ,     0.24773
 6.250 ,     0.06353 ,    -0.00415
 6.300 ,     0.23355 ,    -0.26185
 6.350 ,     0.45435 ,    -0.36221
 6.400 ,     0.70177 ,    -0.21346
 6.450 ,     0.94416 ,     0.17533
 6.500 ,     1.14584 ,     0.58512
 6.550 ,     1.27154 ,     0.93436
 6.600 ,     1.29088 ,     1.20071
 6.650 ,     1.18279 ,     1.25547
 6.700 ,     0.93901 ,     1.14147
 6.750 ,     0.56629 ,     0.87830
 6.800 ,     0.08701 ,     0.43939
 6.850 ,    -0.46207 ,    -0.26938
 6.900 ,    -1.03281 ,    -1.04876
 6.950 ,    -1.57015 ,    -1.67486
 7.000 ,    -2.01774 ,    -1.97476
 7.050 ,    -2.32401 ,    -1.92613
 7.100 ,    -2.44810 ,    -1.36422
 7.150 ,    -2.36511 ,    -1.00074
 7.200 ,    -2.06978 ,    -0.41391
 7.250 ,    -1.57805 ,     0.27322
 7.300 ,    -0.92636 ,     0.66838
 7.350 ,    -0.16851 ,     0.96301
 7.400 ,     0.62940 ,     1.13704
 7.450 ,     1.39552 ,     1.16345
 7.500 ,     2.05962 ,     1.07249
 7.550 ,     2.56018 ,     0.92361
 7.600 ,     2.85058 ,     0.71934
 7.650 ,     2.90355 ,     0.53230
 7.700 ,     2.71375 ,     0.45461
 7.750 ,     2.29835 ,     0.48586
 7.800 ,     1.69524 ,     0.49390
 7.850 ,     0.95930 ,     0.33859
 7.900 ,     0.15699 ,    -0.02110
 7.950 ,    -0.64022 ,    -0.47648
 8.000 ,    -1.36275 ,    -0.78513
 8.050 ,    -1.94963 ,    -0.92888
 8.100 ,    -2.35417 ,    -0.97236
 8.150 ,    -2.54824 ,    -0.95976
