     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   1.00000 ,    0.01741 ,   -0.01405 ,    0.02237 ,    0.02790 ,   -0.05706 ,    0.06352
   1.01000 ,    0.02566 ,   -0.03867 ,    0.04641 ,    0.02761 ,   -0.06274 ,    0.06854
   1.02000 ,    0.04234 ,   -0.06029 ,    0.07367 ,    0.02880 ,   -0.06885 ,    0.07463
   1.03000 ,    0.06633 ,   -0.07656 ,    0.10130 ,    0.03151 ,   -0.07509 ,    0.08143
   1.04000 ,    0.09591 ,   -0.08550 ,    0.12849 ,    0.03570 ,   -0.08118 ,    0.08868
   1.05000 ,    0.12884 ,   -0.08573 ,    0.15475 ,    0.04129 ,   -0.08688 ,    0.09619
   1.06000 ,    0.16258 ,   -0.07649 ,    0.17967 ,    0.04815 ,   -0.09197 ,    0.10381
   1.07000 ,    0.19447 ,   -0.05780 ,    0.20287 ,    0.05614 ,   -0.09630 ,    0.11147
   1.08000 ,    0.22193 ,   -0.03040 ,    0.22400 ,    0.06512 ,   -0.09973 ,    0.11910
   1.09000 ,    0.24269 ,    0.00427 ,    0.24273 ,    0.07492 ,   -0.10219 ,    0.12671
   1.10000 ,    0.25497 ,    0.04419 ,    0.25877 ,    0.08543 ,   -0.10362 ,    0.13430
   1.11000 ,    0.25758 ,    0.08691 ,    0.27184 ,    0.09653 ,   -0.10399 ,    0.14189
   1.12000 ,    0.25009 ,    0.12974 ,    0.28174 ,    0.10813 ,   -0.10329 ,    0.14954
   1.13000 ,    0.23280 ,    0.16997 ,    0.28825 ,    0.12018 ,   -0.10147 ,    0.15729
   1.14000 ,    0.20679 ,    0.20508 ,    0.29124 ,    0.13262 ,   -0.09850 ,    0.16520
   1.15000 ,    0.17378 ,    0.23294 ,    0.29062 ,    0.14541 ,   -0.09432 ,    0.17332
   1.16000 ,    0.13600 ,    0.25197 ,    0.28633 ,    0.15852 ,   -0.08882 ,    0.18171
   1.17000 ,    0.09608 ,    0.26129 ,    0.27839 ,    0.17187 ,   -0.08190 ,    0.19038
   1.18000 ,    0.05675 ,    0.26078 ,    0.26688 ,    0.18537 ,   -0.07340 ,    0.19937
   1.19000 ,    0.02069 ,    0.25110 ,    0.25195 ,    0.19888 ,   -0.06317 ,    0.20867
   1.20000 ,   -0.00971 ,    0.23362 ,    0.23382 ,    0.21220 ,   -0.05106 ,    0.21826
   1.21000 ,   -0.03255 ,    0.21036 ,    0.21286 ,    0.22509 ,   -0.03692 ,    0.22810
   1.22000 ,   -0.04657 ,    0.18377 ,    0.18958 ,    0.23724 ,   -0.02064 ,    0.23813
   1.23000 ,   -0.05124 ,    0.15658 ,    0.16475 ,    0.24828 ,   -0.00219 ,    0.24829
   1.24000 ,   -0.04684 ,    0.13158 ,    0.13967 ,    0.25782 ,    0.01841 ,    0.25847
   1.25000 ,   -0.03443 ,    0.11134 ,    0.11654 ,    0.26543 ,    0.04107 ,    0.26859
   1.26000 ,   -0.01576 ,    0.09808 ,    0.09934 ,    0.27069 ,    0.06556 ,    0.27852
   1.27000 ,    0.00684 ,    0.09343 ,    0.09368 ,    0.27321 ,    0.09160 ,    0.28815
   1.28000 ,    0.03066 ,    0.09829 ,    0.10296 ,    0.27262 ,    0.11878 ,    0.29737
   1.29000 ,    0.05284 ,    0.11278 ,    0.12454 ,    0.26867 ,    0.14661 ,    0.30607
   1.30000 ,    0.07054 ,    0.13620 ,    0.15339 ,    0.26117 ,    0.17455 ,    0.31413
   1.31000 ,    0.08124 ,    0.16707 ,    0.18578 ,    0.25007 ,    0.20199 ,    0.32145
   1.32000 ,    0.08290 ,    0.20325 ,    0.21951 ,    0.23542 ,    0.22832 ,    0.32795
   1.33000 ,    0.07413 ,    0.24208 ,    0.25318 ,    0.21743 ,    0.25294 ,    0.33355
   1.34000 ,    0.05435 ,    0.28061 ,    0.28583 ,    0.19643 ,    0.27530 ,    0.33820
   1.35000 ,    0.02380 ,    0.31581 ,    0.31671 ,    0.17286 ,    0.29493 ,    0.34185
   1.36000 ,   -0.01644 ,    0.34482 ,    0.34521 ,    0.14727 ,    0.31145 ,    0.34451
   1.37000 ,   -0.06454 ,    0.36515 ,    0.37081 ,    0.12024 ,    0.32463 ,    0.34618
   1.38000 ,   -0.11803 ,    0.37492 ,    0.39306 ,    0.09243 ,    0.33438 ,    0.34692
   1.39000 ,   -0.17403 ,    0.37298 ,    0.41158 ,    0.06448 ,    0.34074 ,    0.34679
   1.40000 ,   -0.22943 ,    0.35901 ,    0.42606 ,    0.03697 ,    0.34393 ,    0.34591
   1.41000 ,   -0.28115 ,    0.33356 ,    0.43624 ,    0.01044 ,    0.34426 ,    0.34442
   1.42000 ,   -0.32636 ,    0.29801 ,    0.44196 ,   -0.01470 ,    0.34219 ,    0.34250
   1.43000 ,   -0.36276 ,    0.25446 ,    0.44311 ,   -0.03817 ,    0.33822 ,    0.34037
   1.44000 ,   -0.38867 ,    0.20556 ,    0.43969 ,   -0.05984 ,    0.33293 ,    0.33827
   1.45000 ,   -0.40326 ,    0.15432 ,    0.43178 ,   -0.07973 ,    0.32688 ,    0.33646
   1.46000 ,   -0.40654 ,    0.10384 ,    0.41959 ,   -0.09802 ,    0.32058 ,    0.33523
   1.47000 ,   -0.39940 ,    0.05711 ,    0.40346 ,   -0.11503 ,    0.31448 ,    0.33485
   1.48000 ,   -0.38354 ,    0.01671 ,    0.38390 ,   -0.13117 ,    0.30891 ,    0.33560
   1.49000 ,   -0.36129 ,   -0.01533 ,    0.36162 ,   -0.14696 ,    0.30406 ,    0.33771
   1.50000 ,   -0.33550 ,   -0.03776 ,    0.33762 ,   -0.16294 ,    0.29995 ,    0.34135
   1.51000 ,   -0.30922 ,   -0.05020 ,    0.31327 ,   -0.17966 ,    0.29646 ,    0.34665
   1.52000 ,   -0.28551 ,   -0.05315 ,    0.29041 ,   -0.19761 ,    0.29329 ,    0.35365
   1.53000 ,   -0.26715 ,   -0.04796 ,    0.27142 ,   -0.21720 ,    0.28998 ,    0.36230
   1.54000 ,   -0.25644 ,   -0.03678 ,    0.25907 ,   -0.23870 ,    0.28598 ,    0.37250
   1.55000 ,   -0.25497 ,   -0.02230 ,    0.25595 ,   -0.26222 ,    0.28063 ,    0.38407
   1.56000 ,   -0.26349 ,   -0.00762 ,    0.26360 ,   -0.28773 ,    0.27325 ,    0.39680
   1.57000 ,   -0.28185 ,    0.00407 ,    0.28188 ,   -0.31496 ,    0.26315 ,    0.41043
   1.58000 ,   -0.30894 ,    0.00970 ,    0.30910 ,   -0.34351 ,    0.24971 ,    0.42469
   1.59000 ,   -0.34285 ,    0.00660 ,    0.34291 ,   -0.37279 ,    0.23240 ,    0.43929
   1.60000 ,   -0.38093 ,   -0.00725 ,    0.38100 ,   -0.40207 ,    0.21081 ,    0.45399
   1.61000 ,   -0.42002 ,   -0.03311 ,    0.42133 ,   -0.43055 ,    0.18472 ,    0.46850
   1.62000 ,   -0.45672 ,   -0.07126 ,    0.46225 ,   -0.45734 ,    0.15411 ,    0.48261
   1.63000 ,   -0.48762 ,   -0.12107 ,    0.50242 ,   -0.48157 ,    0.11912 ,    0.49608
   1.64000 ,   -0.50956 ,   -0.18095 ,    0.54074 ,   -0.50240 ,    0.08013 ,    0.50875
   1.65000 ,   -0.51995 ,   -0.24847 ,    0.57627 ,   -0.51910 ,    0.03768 ,    0.52046
   1.66000 ,   -0.51690 ,   -0.32059 ,    0.60825 ,   -0.53104 ,   -0.00755 ,    0.53109
   1.67000 ,   -0.49946 ,   -0.39383 ,    0.63605 ,   -0.53778 ,   -0.05475 ,    0.54056
   1.68000 ,   -0.46763 ,   -0.46455 ,    0.65915 ,   -0.53905 ,   -0.10303 ,    0.54880
   1.69000 ,   -0.42241 ,   -0.52924 ,    0.67715 ,   -0.53478 ,   -0.15150 ,    0.55583
   1.70000 ,   -0.36574 ,   -0.58482 ,    0.68977 ,   -0.52511 ,   -0.19928 ,    0.56165
   1.71000 ,   -0.30031 ,   -0.62883 ,    0.69686 ,   -0.51033 ,   -0.24555 ,    0.56633
   1.72000 ,   -0.22938 ,   -0.65967 ,    0.69841 ,   -0.49089 ,   -0.28964 ,    0.56997
   1.73000 ,   -0.15653 ,   -0.67671 ,    0.69458 ,   -0.46737 ,   -0.33099 ,    0.57270
   1.74000 ,   -0.08534 ,   -0.68034 ,    0.68567 ,   -0.44040 ,   -0.36921 ,    0.57469
   1.75000 ,   -0.01911 ,   -0.67195 ,    0.67222 ,   -0.41066 ,   -0.40409 ,    0.57613
   1.76000 ,    0.03939 ,   -0.65379 ,    0.65498 ,   -0.37879 ,   -0.43558 ,    0.57724
   1.77000 ,    0.08818 ,   -0.62882 ,    0.63497 ,   -0.34538 ,   -0.46379 ,    0.57826
   1.78000 ,    0.12624 ,   -0.60043 ,    0.61355 ,   -0.31091 ,   -0.48895 ,    0.57943
   1.79000 ,    0.15357 ,   -0.57216 ,    0.59241 ,   -0.27573 ,   -0.51139 ,    0.58099
   1.80000 ,    0.17125 ,   -0.54740 ,    0.57356 ,   -0.24007 ,   -0.53148 ,    0.58318
   1.81000 ,    0.18132 ,   -0.52909 ,    0.55930 ,   -0.20397 ,   -0.54959 ,    0.58622
   1.82000 ,    0.18663 ,   -0.51946 ,    0.55196 ,   -0.16735 ,   -0.56606 ,    0.59028
   1.83000 ,    0.19063 ,   -0.51977 ,    0.55363 ,   -0.13000 ,   -0.58114 ,    0.59550
   1.84000 ,    0.19706 ,   -0.53026 ,    0.56569 ,   -0.09162 ,   -0.59497 ,    0.60198
   1.85000 ,    0.20963 ,   -0.54999 ,    0.58859 ,   -0.05185 ,   -0.60753 ,    0.60974
   1.86000 ,    0.23172 ,   -0.57696 ,    0.62175 ,   -0.01031 ,   -0.61869 ,    0.61877
   1.87000 ,    0.26606 ,   -0.60818 ,    0.66383 ,    0.03334 ,   -0.62811 ,    0.62899
   1.88000 ,    0.31447 ,   -0.63992 ,    0.71301 ,    0.07938 ,   -0.63535 ,    0.64029
   1.89000 ,    0.37767 ,   -0.66795 ,    0.76733 ,    0.12794 ,   -0.63982 ,    0.65249
   1.90000 ,    0.45517 ,   -0.68790 ,    0.82486 ,    0.17904 ,   -0.64086 ,    0.66540
   1.91000 ,    0.54529 ,   -0.69557 ,    0.88383 ,    0.23250 ,   -0.63776 ,    0.67882
   1.92000 ,    0.64516 ,   -0.68728 ,    0.94264 ,    0.28796 ,   -0.62980 ,    0.69251
   1.93000 ,    0.75099 ,   -0.66018 ,    0.99991 ,    0.34488 ,   -0.61630 ,    0.70624
   1.94000 ,    0.85827 ,   -0.61249 ,    1.05441 ,    0.40255 ,   -0.59670 ,    0.71979
   1.95000 ,    0.96210 ,   -0.54367 ,    1.10509 ,    0.46009 ,   -0.57054 ,    0.73294
   1.96000 ,    1.05756 ,   -0.45446 ,    1.15108 ,    0.51653 ,   -0.53755 ,    0.74549
   1.97000 ,    1.14005 ,   -0.34689 ,    1.19166 ,    0.57081 ,   -0.49764 ,    0.75728
   1.98000 ,    1.20563 ,   -0.22411 ,    1.22628 ,    0.62185 ,   -0.45096 ,    0.76815
   1.99000 ,    1.25133 ,   -0.09021 ,    1.25458 ,    0.66857 ,   -0.39782 ,    0.77797
   2.00000 ,    1.27536 ,    0.05015 ,    1.27635 ,    0.70998 ,   -0.33877 ,    0.78666
   2.01000 ,    1.27725 ,    0.19205 ,    1.29160 ,    0.74518 ,   -0.27452 ,    0.79414
   2.02000 ,    1.25781 ,    0.33068 ,    1.30055 ,    0.77342 ,   -0.20594 ,    0.80037
   2.03000 ,    1.21912 ,    0.46174 ,    1.30363 ,    0.79412 ,   -0.13402 ,    0.80535
   2.04000 ,    1.16428 ,    0.58177 ,    1.30154 ,    0.80686 ,   -0.05982 ,    0.80907
   2.05000 ,    1.09712 ,    0.68840 ,    1.29521 ,    0.81144 ,    0.01558 ,    0.81159
   2.06000 ,    1.02190 ,    0.78052 ,    1.28588 ,    0.80782 ,    0.09108 ,    0.81294
   2.07000 ,    0.94283 ,    0.85838 ,    1.27505 ,    0.79617 ,    0.16565 ,    0.81322
   2.08000 ,    0.86374 ,    0.92350 ,    1.26447 ,    0.77675 ,    0.23831 ,    0.81249
   2.09000 ,    0.78766 ,    0.97848 ,    1.25612 ,    0.75000 ,    0.30820 ,    0.81086
   2.10000 ,    0.71654 ,    1.02679 ,    1.25209 ,    0.71643 ,    0.37452 ,    0.80842
   2.11000 ,    0.65097 ,    1.07233 ,    1.25445 ,    0.67660 ,    0.43665 ,    0.80527
   2.12000 ,    0.59013 ,    1.11904 ,    1.26511 ,    0.63114 ,    0.49403 ,    0.80150
   2.13000 ,    0.53175 ,    1.17044 ,    1.28557 ,    0.58066 ,    0.54622 ,    0.79720
   2.14000 ,    0.47230 ,    1.22918 ,    1.31680 ,    0.52579 ,    0.59286 ,    0.79243
   2.15000 ,    0.40726 ,    1.29667 ,    1.35912 ,    0.46714 ,    0.63367 ,    0.78725
   2.16000 ,    0.33149 ,    1.37274 ,    1.41220 ,    0.40530 ,    0.66840 ,    0.78169
   2.17000 ,    0.23974 ,    1.45548 ,    1.47509 ,    0.34085 ,    0.69687 ,    0.77576
   2.18000 ,    0.12718 ,    1.54117 ,    1.54641 ,    0.27436 ,    0.71888 ,    0.76945
   2.19000 ,   -0.01013 ,    1.62443 ,    1.62446 ,    0.20641 ,    0.73428 ,    0.76274
   2.20000 ,   -0.17460 ,    1.69842 ,    1.70737 ,    0.13761 ,    0.74292 ,    0.75556
   2.21000 ,   -0.36684 ,    1.75527 ,    1.79319 ,    0.06857 ,    0.74469 ,    0.74784
   2.22000 ,   -0.58517 ,    1.78662 ,    1.88001 ,    0.00001 ,    0.73950 ,    0.73950
   2.23000 ,   -0.82561 ,    1.78423 ,    1.96598 ,   -0.06736 ,    0.72734 ,    0.73045
   2.24000 ,   -1.08176 ,    1.74060 ,    2.04937 ,   -0.13274 ,    0.70824 ,    0.72057
   2.25000 ,   -1.34505 ,    1.64970 ,    2.12853 ,   -0.19529 ,    0.68237 ,    0.70977
   2.26000 ,   -1.60508 ,    1.50749 ,    2.20200 ,   -0.25417 ,    0.65002 ,    0.69794
   2.27000 ,   -1.85015 ,    1.31252 ,    2.26843 ,   -0.30851 ,    0.61159 ,    0.68500
   2.28000 ,   -2.06793 ,    1.06622 ,    2.32662 ,   -0.35747 ,    0.56767 ,    0.67084
   2.29000 ,   -2.24618 ,    0.77312 ,    2.37551 ,   -0.40029 ,    0.51899 ,    0.65542
   2.30000 ,   -2.37361 ,    0.44084 ,    2.41420 ,   -0.43629 ,    0.46644 ,    0.63869
   2.31000 ,   -2.44065 ,    0.07983 ,    2.44196 ,   -0.46497 ,    0.41106 ,    0.62061
   2.32000 ,   -2.44017 ,   -0.29702 ,    2.45818 ,   -0.48596 ,    0.35397 ,    0.60121
   2.33000 ,   -2.36809 ,   -0.67505 ,    2.46243 ,   -0.49912 ,    0.29640 ,    0.58050
   2.34000 ,   -2.22386 ,   -1.03858 ,    2.45443 ,   -0.50455 ,    0.23957 ,    0.55854
